"Seq","Level","Item Type","Part No","Substitute Flag","Supply Type","Status","Component Qty","Extended Qty","UOM","From Date","To Date","Item Desc","Item Spec","SVC CODE","ECO No","Parent Part No","Remarks","Location Info.","Substitute Item","Item Spec"
41,1,"XX","0RH2002C422","N","Supplier","Active",4,4,"EA","2016-11-28 16:41:59","","chip Resistor","20K ohm 1/16W 1608 1% R/TP","","","6871L-5188A","","R15,R161,R170,R30","",""
42,1,"XX","0CH2A-0164A","N","Supplier","Active",1,1,"EA","2016-11-28 16:41:59","","MLCC","0.47UF K 25V X5R 0.95mm 1608 R/TP","","","6871L-5188A","","C62","",""
43,1,"XX","0CH5220K412","N","Supplier","Active",1,1,"EA","2016-11-28 16:41:59","","Temp-Compensation Capacitor","22PF J 50V 1608 R/TP 0.9mm","","","6871L-5188A","","C137","",""
44,1,"XX","0RH1101C422","N","Supplier","Active",1,1,"EA","2016-11-28 16:41:59","","chip Resistor","1.1K ohm 1/16W 1608 1% R/TP","","","6871L-5188A","","R144","",""
45,1,"XX","0RHAA-0274A","N","Supplier","Active",1,1,"EA","2016-11-28 16:41:59","","Chip Resistor","110K 1/16W 1005 1% R/TP","","","6871L-5188A","","R44","",""
46,1,"XX","0RH2401C422","N","Supplier","Active",4,4,"EA","2016-11-28 16:41:59","","chip Resistor","2.4K ohm 1/16W 1608 1% R/TP","","","6871L-5188A","","R63,R64,R66,R68","",""
47,1,"XX","0RH0000C622","N","Supplier","Active",14,14,"EA","2017-03-27 21:07:14","","chip Resistor","0 ohm 1/16W 1608 5% R/TP","","AG17224201","6871L-5188A","","R1,R114,R116,R124,R130,R131,R154,R157,R159,R171,R177,R178,R179,R2","",""
48,1,"XX","0RH5602C422","N","Supplier","Active",1,1,"EA","2016-11-28 16:41:59","","chip Resistor","56K ohm 1/16W 1608 1% R/TP","","","6871L-5188A","","R137","",""
49,1,"PU","0FSLO-0012A","N","Assembly Pull","Active",1,1,"EA","2016-11-28 16:41:59","","Slow Blow Fuse","F0603HI2500V032TM AEM Cupper/Nickel 32V 2.5A UL 1.6X0.8X0.95 (MM) R/TP","","","6871L-5188A","","F2","",""
50,1,"XX","0LCAA-0089A","N","Assembly Pull","Active",1,1,"EA","2016-11-28 16:41:59","","Coil Inductor","CMI-DOP3910NH-6R8M COIL MASTER 6.8 UH M=20% 0.9 A 0.26 OHM 3.9X3.9X1 (MM) R/TP","","","6871L-5188A","","L2","",""
51,1,"XX","0CH2A-0097A","N","Supplier","Active",1,1,"EA","2016-11-28 16:41:59","","MLCC","10NF K 25V X7R 0.55mm 1005 R/TP","","","6871L-5188A","","C34","",""
52,1,"XX","0CH2A-0030A","N","Supplier","Active",9,9,"EA","2016-11-28 16:41:59","","MLCC","1uF K 10V X5R 0.55mm 1005 R/TP","","","6871L-5188A","","C20,C58,C59,C60,C61,C66,C67,C68,C69","",""
53,1,"XX","0RH1502C422","N","Supplier","Active",2,2,"EA","2016-11-28 16:41:59","","chip Resistor","15K ohm 1/16W 1608 1% R/TP","","","6871L-5188A","","R14,R165","",""
54,1,"XX","0RH7502C422","N","Supplier","Active",1,1,"EA","2016-11-28 16:41:59","","chip Resistor","75K ohm 1/16W 1608 1% R/TP","","","6871L-5188A","","R134","",""
55,1,"XX","0CH2A-0091A","N","Supplier","Active",1,1,"EA","2016-11-28 16:41:59","","MLCC","1uF K 25V X5R 0.6mm 1005 R/TP","","","6871L-5188A","","C25","",""
56,1,"XX","0RH1102C422","N","Supplier","Active",1,1,"EA","2016-11-28 16:41:59","","chip Resistor","11K ohm 1/16W 1608 1% R/TP","","","6871L-5188A","","R167","",""
57,1,"XX","0CH2A-0010A","N","Supplier","Active",2,2,"EA","2016-11-28 16:41:59","","MLCC","33nF M 25V X7R 0.9mm 1608 R/TP","","","6871L-5188A","","C111,C112","",""
58,1,"PU","0DHZL-0090A","N","Assembly Pull","Active",2,2,"EA","2016-11-28 16:41:59","","Schottky Diode","SDS7000 AUK SOT-23 R/TP","","","6871L-5188A","","D4,D6","",""
59,1,"XX","0CH2A-0073A","N","Supplier","Active",1,1,"EA","2016-11-28 16:41:59","","MLCC","0.1uF K 16V X7R 0.55mm 1005 R/TP","","","6871L-5188A","","C13","",""
60,1,"XX","0CH2104H942","N","Supplier","Active",1,1,"EA","2016-11-28 16:41:59","","MLCC","0.1uF Z 25V Y5V 0.9mm 1608 R/TP","","","6871L-5188A","","C86","",""
61,1,"XX","0CH2223H562","N","Supplier","Active",1,1,"EA","2016-11-28 16:41:59","","MLCC","22nF K 25V X7R 0.9mm 1608 R/TP","","","6871L-5188A","","C22","",""
62,1,"XX","0CH5681K412","N","Supplier","Active",1,1,"EA","2016-11-28 16:41:59","","Temp-Compensation Capacitor","680PF J 50V 1608 R/TP 0.9mm","","","6871L-5188A","","C114","",""
63,1,"XX","0RH6201C422","N","Supplier","Active",1,1,"EA","2016-11-28 16:41:59","","chip Resistor","6.2K ohm 1/16W 1608 1% R/TP","","","6871L-5188A","","R126","",""
64,1,"XX","0LCAA-0179A","N","Assembly Pull","Active",1,1,"EA","2016-11-28 16:41:59","","Coil Inductor","NRS6014T100MMGG KTY 10UH M=20% 1.4A 0.168 OHM 6.0X6.0X1.4MM R/TP","","","6871L-5188A","","L3","",""
65,1,"XX","0CH2222K562","N","Supplier","Active",1,1,"EA","2016-11-28 16:41:59","","MLCC","2.2nF K 50V X7R 0.9mm 1608 R/TP","","","6871L-5188A","","C101","",""
66,1,"XX","0RH3602C422","N","Supplier","Active",2,2,"EA","2016-11-28 16:41:59","","chip Resistor","36K ohm 1/16W 1608 1% R/TP","","","6871L-5188A","","R136,R142","",""
67,1,"XX","0CH2A-0015A","N","Supplier","Active",28,28,"EA","2016-11-28 16:41:59","","MLCC","1uF K 25V X5R 0.9mm 1608 R/TP","","","6871L-5188A","","C1,C102,C103,C129,C131,C132,C2,C38,C39,C4,C40,C43,C48,C49,C5,C50,C51,C52,C53,C54,C55,C56,C57,C64,C65,C70,C71,C99","",""
68,1,"XX","0RHAA-0142A","N","Supplier","Active",1,1,"EA","2016-11-28 16:41:59","","Chip Resistor","22 1/16W 1005 1% R/TP","","","6871L-5188A","","R22","",""
